"Species","Habitat","Historical land use","IndVal.g","p.value"
"Ailanthus altissima","Dry grasslands","Grassland",0.0438,0.548
"Alcea biennis","Dry grasslands","Grassland",0.0329,0.73
"Allium rotundum","Dry grasslands","Grassland",0.045,0.569
"Alyssum montanum aggr.","Dry grasslands","Grassland",0.2586,0.001
"Anacamptis pyramidalis","Dry grasslands","Grassland",0.0508,0.514
"Antennaria dioica","Dry grasslands","Grassland",0.0369,0.761
"Apera interrupta","Dry grasslands","Grassland",0.0233,1
"Arenaria grandiflora","Dry grasslands","Grassland",0.0403,0.519
"Asplenium adiantum-nigrum subsp. serpentini","Dry grasslands","Grassland",0.0741,0.203
"Astragalus danicus","Dry grasslands","Grassland",0.1293,0.02
"Bothriochloa ischaemum","Dry grasslands","Grassland",0.1925,0.008
"Botrychium lunaria","Dry grasslands","Grassland",0.0273,0.966
"Camelina sativa","Dry grasslands","Grassland",0.0329,0.752
"Campanula sibirica","Dry grasslands","Grassland",0.1537,0.008
"Carex humilis","Dry grasslands","Grassland",0.2802,0.001
"Carex liparocarpos","Dry grasslands","Grassland",0.0874,0.121
"Carex montana","Dry grasslands","Grassland",0.1387,0.047
"Carex supina","Dry grasslands","Grassland",0.1549,0.023
"Centaurea stoebe","Dry grasslands","Grassland",0.2706,0.001
"Chondrilla juncea","Dry grasslands","Grassland",0.0962,0.116
"Cleistogenes serotina","Dry grasslands","Grassland",0.0504,0.428
"Clematis recta","Dry grasslands","Grassland",0.0699,0.339
"Clinopodium acinos","Dry grasslands","Grassland",0.212,0.001
"Cota austriaca","Dry grasslands","Grassland",0.0329,0.723
"Crepis praemorsa aggr.","Dry grasslands","Grassland",0.0942,0.116
"Cuscuta approximata","Dry grasslands","Grassland",0.0233,1
"Cyanus montanus","Dry grasslands","Grassland",0.0233,1
"Cynodon dactylon","Dry grasslands","Grassland",0.0864,0.202
"Danthonia alpina","Dry grasslands","Grassland",0.0525,0.482
"Digitaria ischaemum","Dry grasslands","Grassland",0.0616,0.303
"Diplotaxis muralis","Dry grasslands","Grassland",0.028,0.943
"Diplotaxis tenuifolia","Dry grasslands","Grassland",0.0678,0.255
"Draba aizoides aggr.","Dry grasslands","Grassland",0.057,0.303
"Echinops ritro","Dry grasslands","Grassland",0.0329,0.749
"Epilobium dodonaei","Dry grasslands","Grassland",0.0233,1
"Euphorbia angulata","Dry grasslands","Grassland",0.0233,1
"Euphorbia exigua","Dry grasslands","Grassland",0.0329,0.695
"Euphorbia seguieriana","Dry grasslands","Grassland",0.1971,0.001
"Euphorbia verrucosa","Dry grasslands","Grassland",0.0389,0.856
"Euphrasia stricta","Dry grasslands","Grassland",0.1029,0.091
"Festuca vaginata","Dry grasslands","Grassland",0.05,0.397
"Festuca valesiaca aggr.","Dry grasslands","Grassland",0.2924,0.001
"Filago germanica","Dry grasslands","Grassland",0.0458,0.71
"Fumana procumbens","Dry grasslands","Grassland",0.1187,0.02
"Gagea minima","Dry grasslands","Grassland",0.057,0.378
"Gagea pratensis","Dry grasslands","Grassland",0.0233,1
"Gagea pusilla","Dry grasslands","Grassland",0.0403,0.492
"Genista pilosa","Dry grasslands","Grassland",0.1953,0.002
"Glycyrrhiza glabra","Dry grasslands","Grassland",0.0707,0.249
"Gypsophila fastigiata","Dry grasslands","Grassland",0.0316,0.815
"Hacquetia epipactis","Dry grasslands","Grassland",0.0233,1
"Helichrysum arenarium","Dry grasslands","Grassland",0.1135,0.052
"Helictochloa pratensis","Dry grasslands","Grassland",0.2727,0.001
"Hieracium bifidum","Dry grasslands","Grassland",0.0358,0.692
"Hypericum elegans","Dry grasslands","Grassland",0.0969,0.073
"Hypochaeris maculata","Dry grasslands","Grassland",0.1258,0.026
"Inula salicina","Dry grasslands","Grassland",0.115,0.197
"Ionopsidium abulense","Dry grasslands","Grassland",0.0702,0.241
"Iris graminea","Dry grasslands","Grassland",0.0379,0.606
"Isatis tinctoria","Dry grasslands","Grassland",0.0233,1
"Jovibarba globifera","Dry grasslands","Grassland",0.2156,0.001
"Kernera saxatilis","Dry grasslands","Grassland",0.0233,1
"Klasea lycopifolia","Dry grasslands","Grassland",0.0849,0.14
"Lactuca saligna","Dry grasslands","Grassland",0.0233,1
"Laserpitium latifolium","Dry grasslands","Grassland",0.0819,0.165
"Lathyrus niger","Dry grasslands","Grassland",0.0969,0.078
"Lilium bulbiferum","Dry grasslands","Grassland",0.0347,0.777
"Lilium martagon","Dry grasslands","Grassland",0.0547,0.494
"Linaria genistifolia","Dry grasslands","Grassland",0.1801,0.003
"Linum austriacum","Dry grasslands","Grassland",0.0308,0.858
"Lonicera caprifolium","Dry grasslands","Grassland",0.0233,1
"Lonicera xylosteum","Dry grasslands","Grassland",0.0233,1
"Medicago monspeliaca","Dry grasslands","Grassland",0.0364,0.734
"Microrrhinum minus","Dry grasslands","Grassland",0.0427,0.653
"Minuartia glaucina","Dry grasslands","Grassland",0.0715,0.216
"Minuartia verna aggr.","Dry grasslands","Grassland",0.0426,0.589
"Ophrys apifera","Dry grasslands","Grassland",0.0233,1
"Orobanche alba","Dry grasslands","Grassland",0.1197,0.02
"Orobanche caryophyllacea","Dry grasslands","Grassland",0.0233,1
"Paragymnopteris marantae","Dry grasslands","Grassland",0.0389,0.546
"Phelipanche arenaria","Dry grasslands","Grassland",0.0233,1
"Pilosella echioides","Dry grasslands","Grassland",0.1714,0.002
"Pimpinella nigra","Dry grasslands","Grassland",0.0949,0.08
"Platanthera chlorantha","Dry grasslands","Grassland",0.0233,1
"Poa badensis aggr.","Dry grasslands","Grassland",0.1705,0.003
"Polycnemum arvense","Dry grasslands","Grassland",0.0437,0.75
"Pontechium maculatum","Dry grasslands","Grassland",0.0641,0.277
"Potentilla alba","Dry grasslands","Grassland",0.1684,0.007
"Potentilla collina","Dry grasslands","Grassland",0.0281,0.905
"Potentilla incana","Dry grasslands","Grassland",0.3828,0.001
"Prunus armeniaca","Dry grasslands","Grassland",0.0233,1
"Pteridium aquilinum","Dry grasslands","Grassland",0.0233,1
"Pulmonaria angustifolia","Dry grasslands","Grassland",0.1374,0.011
"Rosa inodora","Dry grasslands","Grassland",0.0233,1
"Rosa marginata","Dry grasslands","Grassland",0.0329,0.703
"Rumex acetosella","Dry grasslands","Grassland",0.1966,0.004
"Salvia aethiopis","Dry grasslands","Grassland",0.0329,0.696
"Sanguisorba minor aggr.","Dry grasslands","Grassland",0.2734,0.001
"Saxifraga paniculata","Dry grasslands","Grassland",0.0635,0.367
"Scleranthus polycarpos","Dry grasslands","Grassland",0.0616,0.333
"Sclerochloa dura","Dry grasslands","Grassland",0.0233,1
"Scorzonera purpurea","Dry grasslands","Grassland",0.065,0.381
"Senecio doria aggr.","Dry grasslands","Grassland",0.0226,0.983
"Seseli annuum","Dry grasslands","Grassland",0.1463,0.022
"Seseli osseum","Dry grasslands","Grassland",0.2371,0.001
"Sesleria caerulea","Dry grasslands","Grassland",0.1903,0.001
"Silene dichotoma","Dry grasslands","Grassland",0.0233,1
"Silene italica aggr.","Dry grasslands","Grassland",0.0233,1
"Silene otites aggr.","Dry grasslands","Grassland",0.2019,0.001
"Silene viscosa","Dry grasslands","Grassland",0.0714,0.158
"Sorbus domestica","Dry grasslands","Grassland",0.0233,1
"Spergula pentandra","Dry grasslands","Grassland",0.0403,0.543
"Stachys germanica","Dry grasslands","Grassland",0.0403,0.532
"Stipa dasyphylla","Dry grasslands","Grassland",0.0995,0.044
"Stipa eriocaulis","Dry grasslands","Grassland",0.0507,0.461
"Stipa zalesskii","Dry grasslands","Grassland",0.0233,1
"Symphytum tuberosum aggr.","Dry grasslands","Grassland",0.0486,0.665
"Taraxacum sect. Erythrosperma","Dry grasslands","Grassland",0.0886,0.139
"Teucrium botrys","Dry grasslands","Grassland",0.033,0.839
"Teucrium montanum","Dry grasslands","Grassland",0.1532,0.015
"Thalictrum foetidum","Dry grasslands","Grassland",0.0736,0.174
"Thalictrum minus","Dry grasslands","Grassland",0.1441,0.052
"Thymus praecox","Dry grasslands","Grassland",0.2748,0.001
"Thymus pulcherrimus","Dry grasslands","Grassland",0.0233,1
"Thymus serpyllum","Dry grasslands","Grassland",0.1053,0.091
"Traunsteinera globosa","Dry grasslands","Grassland",0.0802,0.162
"Trifolium rubens","Dry grasslands","Grassland",0.0621,0.51
"Trinia glauca","Dry grasslands","Grassland",0.0452,0.573
"Vaccinium uliginosum","Dry grasslands","Grassland",0.0335,0.798
"Vaccinium vitis-idaea","Dry grasslands","Grassland",0.034,0.956
"Valeriana stolonifera","Dry grasslands","Grassland",0.0947,0.103
"Verbascum speciosum","Dry grasslands","Grassland",0.0415,0.615
"Veronica spicata","Dry grasslands","Grassland",0.2609,0.001
"Vicia sylvatica","Dry grasslands","Grassland",0.0403,0.535
"Ajuga reptans","Mesic grasslands","Grassland",0.1733,0.006
"Alchemilla glaucescens","Mesic grasslands","Grassland",0.0667,0.315
"Alchemilla xanthochlora","Mesic grasslands","Grassland",0.0604,0.351
"Allium ursinum","Mesic grasslands","Grassland",0.0452,0.417
"Anemone ranunculoides","Mesic grasslands","Grassland",0.0364,0.701
"Arabidopsis halleri","Mesic grasslands","Grassland",0.105,0.049
"Arnica montana","Mesic grasslands","Grassland",0.0593,0.43
"Atriplex tatarica","Mesic grasslands","Grassland",0.0369,0.675
"Briza media","Mesic grasslands","Grassland",0.1755,0.075
"Campanula patula aggr.","Mesic grasslands","Grassland",0.2768,0.001
"Cardamine hirsuta","Mesic grasslands","Grassland",0.0371,0.584
"Carex hirta","Mesic grasslands","Grassland",0.1619,0.017
"Carex pallescens","Mesic grasslands","Grassland",0.1753,0.003
"Centaurea phrygia aggr.","Mesic grasslands","Grassland",0.0648,0.335
"Cerastium fontanum subsp. vulgare","Mesic grasslands","Grassland",0.284,0.001
"Cerastium glomeratum","Mesic grasslands","Grassland",0.0354,0.796
"Chaerophyllum aureum","Mesic grasslands","Grassland",0.0785,0.195
"Chenopodium opulifolium","Mesic grasslands","Grassland",0.0301,0.81
"Cirsium heterophyllum aggr.","Mesic grasslands","Grassland",0.1214,0.054
"Crepis mollis","Mesic grasslands","Grassland",0.13,0.028
"Cruciata glabra","Mesic grasslands","Grassland",0.1164,0.041
"Festuca rubra aggr.","Mesic grasslands","Grassland",0.4194,0.001
"Geranium pyrenaicum","Mesic grasslands","Grassland",0.0752,0.151
"Geranium sylvaticum aggr.","Mesic grasslands","Grassland",0.0578,0.408
"Holcus lanatus","Mesic grasslands","Grassland",0.2455,0.001
"Hypericum maculatum aggr.","Mesic grasslands","Grassland",0.2252,0.001
"Isolepis setacea","Mesic grasslands","Grassland",0.0365,0.589
"Lolium multiflorum","Mesic grasslands","Grassland",0.0517,0.438
"Luzula campestris aggr.","Mesic grasslands","Grassland",0.2367,0.003
"Malva alcea","Mesic grasslands","Grassland",0.0371,0.551
"Malva moschata","Mesic grasslands","Grassland",0.0742,0.165
"Malva sylvestris","Mesic grasslands","Grassland",0.0525,0.248
"Melilotus indicus","Mesic grasslands","Grassland",0.0371,0.583
"Mercurialis annua","Mesic grasslands","Grassland",0.0262,0.898
"Muscari botryoides","Mesic grasslands","Grassland",0.0249,0.937
"Myosotis arvensis","Mesic grasslands","Grassland",0.1465,0.009
"Myosotis discolor","Mesic grasslands","Grassland",0.0768,0.143
"Myrrhis odorata","Mesic grasslands","Grassland",0.0371,0.575
"Nepeta nuda","Mesic grasslands","Grassland",0.0295,0.838
"Neslia paniculata","Mesic grasslands","Grassland",0.025,0.953
"Odontites vulgaris aggr.","Mesic grasslands","Grassland",0.0636,0.416
"Oxalis corniculata","Mesic grasslands","Grassland",0.0241,0.96
"Phleum alpinum aggr.","Mesic grasslands","Grassland",0.0371,0.583
"Phleum nodosum","Mesic grasslands","Grassland",0.0371,0.557
"Phyteuma spicatum","Mesic grasslands","Grassland",0.0619,0.302
"Pilosella acutifolia","Mesic grasslands","Grassland",0.0371,0.592
"Poa chaixii","Mesic grasslands","Grassland",0.11,0.038
"Potentilla norvegica","Mesic grasslands","Grassland",0.0371,0.56
"Pulmonaria mollis","Mesic grasslands","Grassland",0.1148,0.02
"Rosa pendulina","Mesic grasslands","Grassland",0.0362,0.621
"Rumex acetosa","Mesic grasslands","Grassland",0.3535,0.001
"Rumex arifolius","Mesic grasslands","Grassland",0.0371,0.585
"Stachys officinalis","Mesic grasslands","Grassland",0.1474,0.105
"Stellaria graminea","Mesic grasslands","Grassland",0.2694,0.001
"Tanacetum vulgare","Mesic grasslands","Grassland",0.0945,0.145
"Taraxacum nordstedtii","Mesic grasslands","Grassland",0.0284,0.879
"Trifolium hybridum","Mesic grasslands","Grassland",0.1302,0.047
"Veronica chamaedrys aggr.","Mesic grasslands","Grassland",0.3539,0.001
"Veronica filiformis","Mesic grasslands","Grassland",0.0569,0.263
"Veronica officinalis","Mesic grasslands","Grassland",0.1041,0.097
"Veronica serpyllifolia","Mesic grasslands","Grassland",0.1605,0.006
"Vicia cassubica","Mesic grasslands","Grassland",0.0371,0.594
"Vicia tetrasperma","Mesic grasslands","Grassland",0.1715,0.005
"Achillea aspleniifolia","Wet grasslands","Grassland",0.0543,0.265
"Aconitum variegatum","Wet grasslands","Grassland",0.0701,0.21
"Amaranthus blitum","Wet grasslands","Grassland",0.0314,0.734
"Anacamptis palustris aggr.","Wet grasslands","Grassland",0.084,0.102
"Anemone nemorosa","Wet grasslands","Grassland",0.1172,0.096
"Angelica palustris","Wet grasslands","Grassland",0.0314,0.736
"Aruncus dioicus","Wet grasslands","Grassland",0.0314,0.75
"Bromus racemosus","Wet grasslands","Grassland",0.0237,1
"Bryonia alba","Wet grasslands","Grassland",0.0314,0.744
"Cardamine bulbifera","Wet grasslands","Grassland",0.0314,0.749
"Cardamine parviflora","Wet grasslands","Grassland",0.0638,0.322
"Carex buxbaumii","Wet grasslands","Grassland",0.1142,0.023
"Carex demissa","Wet grasslands","Grassland",0.0709,0.202
"Carex disticha","Wet grasslands","Grassland",0.1199,0.036
"Carex echinata","Wet grasslands","Grassland",0.1598,0.009
"Carex elata","Wet grasslands","Grassland",0.1188,0.04
"Carex flava","Wet grasslands","Grassland",0.0752,0.175
"Carex lasiocarpa","Wet grasslands","Grassland",0.0652,0.265
"Carex nigra","Wet grasslands","Grassland",0.315,0.001
"Carex rostrata","Wet grasslands","Grassland",0.1811,0.007
"Carex umbrosa","Wet grasslands","Grassland",0.1563,0.004
"Carex vulpina","Wet grasslands","Grassland",0.1571,0.012
"Chenopodiastrum hybridum","Wet grasslands","Grassland",0.0314,0.742
"Cirsium brachycephalum","Wet grasslands","Grassland",0.0806,0.133
"Cirsium palustre","Wet grasslands","Grassland",0.2747,0.001
"Corydalis intermedia","Wet grasslands","Grassland",0.0314,0.738
"Corydalis solida","Wet grasslands","Grassland",0.0314,0.731
"Dactylorhiza majalis","Wet grasslands","Grassland",0.1272,0.031
"Doronicum austriacum","Wet grasslands","Grassland",0.0314,0.732
"Elatine hydropiper","Wet grasslands","Grassland",0.0314,0.738
"Eleocharis mamillata","Wet grasslands","Grassland",0.0314,0.74
"Eleocharis uniglumis","Wet grasslands","Grassland",0.1369,0.02
"Epilobium angustifolium","Wet grasslands","Grassland",0.0516,0.507
"Epilobium montanum","Wet grasslands","Grassland",0.0639,0.334
"Epilobium palustre","Wet grasslands","Grassland",0.1911,0.001
"Epilobium parviflorum","Wet grasslands","Grassland",0.0527,0.486
"Epipactis palustris","Wet grasslands","Grassland",0.0983,0.063
"Equisetum fluviatile","Wet grasslands","Grassland",0.1926,0.002
"Eriophorum angustifolium","Wet grasslands","Grassland",0.1771,0.005
"Eriophorum vaginatum","Wet grasslands","Grassland",0.058,0.278
"Erysimum cheiranthoides","Wet grasslands","Grassland",0.0316,0.839
"Euphorbia illirica","Wet grasslands","Grassland",0.0328,0.819
"Euphorbia lucida","Wet grasslands","Grassland",0.0981,0.055
"Euphorbia palustris","Wet grasslands","Grassland",0.0283,0.881
"Euphorbia platyphyllos","Wet grasslands","Grassland",0.0314,0.739
"Filipendula ulmaria","Wet grasslands","Grassland",0.305,0.001
"Gagea lutea","Wet grasslands","Grassland",0.0443,0.41
"Galium intermedium","Wet grasslands","Grassland",0.0314,0.749
"Galium palustre aggr.","Wet grasslands","Grassland",0.2642,0.001
"Geum rivale","Wet grasslands","Grassland",0.1455,0.009
"Gladiolus imbricatus","Wet grasslands","Grassland",0.0409,0.535
"Gladiolus palustris","Wet grasslands","Grassland",0.0695,0.243
"Hypericum tetrapterum","Wet grasslands","Grassland",0.0741,0.195
"Illecebrum verticillatum","Wet grasslands","Grassland",0.0443,0.417
"Juncus acutiflorus","Wet grasslands","Grassland",0.0622,0.271
"Juncus alpinoarticulatus","Wet grasslands","Grassland",0.0443,0.42
"Juncus atratus","Wet grasslands","Grassland",0.0443,0.394
"Juncus bulbosus","Wet grasslands","Grassland",0.0314,0.75
"Juncus inflexus","Wet grasslands","Grassland",0.133,0.022
"Kickxia elatine","Wet grasslands","Grassland",0.0314,0.746
"Laserpitium prutenicum","Wet grasslands","Grassland",0.1106,0.044
"Lathyrus palustris","Wet grasslands","Grassland",0.1203,0.026
"Leersia oryzoides","Wet grasslands","Grassland",0.0679,0.159
"Lemna trisulca","Wet grasslands","Grassland",0.0314,0.73
"Lindernia procumbens","Wet grasslands","Grassland",0.0314,0.748
"Lycopus exaltatus","Wet grasslands","Grassland",0.048,0.42
"Lythrum portula","Wet grasslands","Grassland",0.0411,0.521
"Mentha arvensis","Wet grasslands","Grassland",0.1671,0.006
"Omphalodes scorpioides","Wet grasslands","Grassland",0.0443,0.402
"Pedicularis sylvatica","Wet grasslands","Grassland",0.0606,0.316
"Pilosella auriculoides","Wet grasslands","Grassland",0.0443,0.435
"Pilosella lactucella","Wet grasslands","Grassland",0.0752,0.191
"Pinguicula vulgaris","Wet grasslands","Grassland",0.0314,0.73
"Polemonium caeruleum","Wet grasslands","Grassland",0.054,0.332
"Polygala amara","Wet grasslands","Grassland",0.0438,0.652
"Ranunculus platanifolius","Wet grasslands","Grassland",0.0314,0.732
"Ranunculus sardous","Wet grasslands","Grassland",0.0575,0.233
"Rumex stenophyllus","Wet grasslands","Grassland",0.0314,0.734
"Salix myrtilloides","Wet grasslands","Grassland",0.0314,0.76
"Salix repens","Wet grasslands","Grassland",0.1455,0.008
"Salix viminalis","Wet grasslands","Grassland",0.0443,0.386
"Samolus valerandi","Wet grasslands","Grassland",0.0443,0.392
"Scirpoides holoschoenus","Wet grasslands","Grassland",0.0574,0.418
"Scorzonera humilis","Wet grasslands","Grassland",0.114,0.095
"Scutellaria hastifolia","Wet grasslands","Grassland",0.1091,0.024
"Silene flos-cuculi","Wet grasslands","Grassland",0.2528,0.001
"Solidago canadensis","Wet grasslands","Grassland",0.0455,0.727
"Spergula arvensis","Wet grasslands","Grassland",0.0314,0.712
"Stachys palustris","Wet grasslands","Grassland",0.0765,0.185
"Succisa pratensis","Wet grasslands","Grassland",0.1788,0.011
"Teucrium scordium","Wet grasslands","Grassland",0.0791,0.158
"Thalictrum flavum","Wet grasslands","Grassland",0.1029,0.068
"Thalictrum simplex","Wet grasslands","Grassland",0.0963,0.049
"Torilis arvensis","Wet grasslands","Grassland",0.0314,0.709
"Tussilago farfara","Wet grasslands","Grassland",0.0557,0.546
"Valeriana dioica","Wet grasslands","Grassland",0.21,0.001
"Viola stagnina","Wet grasslands","Grassland",0.0491,0.515
"Willemetia stipitata","Wet grasslands","Grassland",0.0821,0.185
"Acer campestre","Dry grasslands","Permanent crop",0.1162,0.04
"Achillea pannonica","Dry grasslands","Permanent crop",0.1992,0.001
"Agrimonia eupatoria","Dry grasslands","Permanent crop",0.2393,0.001
"Agropyron cristatum","Dry grasslands","Permanent crop",0.0343,0.645
"Anemone sylvestris","Dry grasslands","Permanent crop",0.1187,0.047
"Anthericum ramosum","Dry grasslands","Permanent crop",0.2437,0.001
"Anthyllis vulneraria","Dry grasslands","Permanent crop",0.2198,0.001
"Artemisia pontica","Dry grasslands","Permanent crop",0.09,0.075
"Asparagus officinalis","Dry grasslands","Permanent crop",0.1143,0.042
"Asperula tinctoria","Dry grasslands","Permanent crop",0.1257,0.025
"Aster amellus","Dry grasslands","Permanent crop",0.3717,0.001
"Astragalus onobrychis","Dry grasslands","Permanent crop",0.2095,0.001
"Bassia prostrata","Dry grasslands","Permanent crop",0.0644,0.258
"Bromopsis erecta","Dry grasslands","Permanent crop",0.2884,0.001
"Bromopsis inermis","Dry grasslands","Permanent crop",0.233,0.001
"Bromus commutatus","Dry grasslands","Permanent crop",0.072,0.137
"Bromus japonicus","Dry grasslands","Permanent crop",0.0702,0.272
"Bupleurum affine","Dry grasslands","Permanent crop",0.0444,0.393
"Bupleurum falcatum","Dry grasslands","Permanent crop",0.3653,0.001
"Campanula bononiensis","Dry grasslands","Permanent crop",0.1217,0.018
"Campanula glomerata","Dry grasslands","Permanent crop",0.2479,0.001
"Carex alba","Dry grasslands","Permanent crop",0.0644,0.159
"Carex flacca","Dry grasslands","Permanent crop",0.1669,0.008
"Carex ornithopoda","Dry grasslands","Permanent crop",0.1107,0.048
"Carlina vulgaris aggr.","Dry grasslands","Permanent crop",0.2559,0.001
"Castanea sativa","Dry grasslands","Permanent crop",0.0519,0.238
"Centaurea scabiosa","Dry grasslands","Permanent crop",0.4246,0.001
"Cirsium pannonicum","Dry grasslands","Permanent crop",0.145,0.027
"Colutea arborescens","Dry grasslands","Permanent crop",0.0519,0.231
"Cornus sanguinea","Dry grasslands","Permanent crop",0.2533,0.001
"Coronilla coronata","Dry grasslands","Permanent crop",0.0734,0.13
"Cotoneaster tomentosus","Dry grasslands","Permanent crop",0.0496,0.345
"Crataegus monogyna","Dry grasslands","Permanent crop",0.2472,0.001
"Cuscuta epithymum","Dry grasslands","Permanent crop",0.1442,0.003
"Cyanus mollis","Dry grasslands","Permanent crop",0.0519,0.234
"Cypripedium calceolus","Dry grasslands","Permanent crop",0.0478,0.324
"Cytisus hirsutus","Dry grasslands","Permanent crop",0.1419,0.01
"Dianthus carthusianorum","Dry grasslands","Permanent crop",0.1359,0.055
"Dianthus collinus","Dry grasslands","Permanent crop",0.0734,0.135
"Dichoropetalum carvifolia","Dry grasslands","Permanent crop",0.0519,0.259
"Dictamnus albus","Dry grasslands","Permanent crop",0.1649,0.004
"Dorycnium pentaphyllum","Dry grasslands","Permanent crop",0.3442,0.001
"Eryngium campestre","Dry grasslands","Permanent crop",0.2867,0.001
"Erysimum marschallianum","Dry grasslands","Permanent crop",0.055,0.439
"Erysimum sylvestre","Dry grasslands","Permanent crop",0.0519,0.252
"Euphorbia esula","Dry grasslands","Permanent crop",0.1678,0.01
"Euphorbia stricta","Dry grasslands","Permanent crop",0.0592,0.243
"Falcaria vulgaris","Dry grasslands","Permanent crop",0.2179,0.002
"Festuca stricta subsp. sulcata","Dry grasslands","Permanent crop",0.3591,0.001
"Galatella linosyris","Dry grasslands","Permanent crop",0.3725,0.001
"Galium lucidum","Dry grasslands","Permanent crop",0.0485,0.288
"Galium spurium","Dry grasslands","Permanent crop",0.0576,0.354
"Genista sagittalis","Dry grasslands","Permanent crop",0.0519,0.267
"Geranium sanguineum","Dry grasslands","Permanent crop",0.2516,0.001
"Globularia bisnagarica","Dry grasslands","Permanent crop",0.1319,0.011
"Globularia cordifolia","Dry grasslands","Permanent crop",0.1722,0.001
"Gypsophila paniculata","Dry grasslands","Permanent crop",0.0644,0.344
"Hesperis tristis","Dry grasslands","Permanent crop",0.0835,0.114
"Hieracium racemosum","Dry grasslands","Permanent crop",0.0693,0.199
"Hieracium umbellatum","Dry grasslands","Permanent crop",0.2989,0.001
"Himantoglossum adriaticum","Dry grasslands","Permanent crop",0.1983,0.002
"Inula ensifolia","Dry grasslands","Permanent crop",0.3446,0.001
"Inula hirta","Dry grasslands","Permanent crop",0.1662,0.005
"Iris pumila","Dry grasslands","Permanent crop",0.1902,0.004
"Juglans regia","Dry grasslands","Permanent crop",0.1027,0.053
"Jurinea mollis","Dry grasslands","Permanent crop",0.1964,0.001
"Laser trilobum","Dry grasslands","Permanent crop",0.0519,0.251
"Lathyrus latifolius","Dry grasslands","Permanent crop",0.123,0.033
"Lathyrus tuberosus","Dry grasslands","Permanent crop",0.1629,0.003
"Leucanthemum adustum","Dry grasslands","Permanent crop",0.0714,0.163
"Linum flavum","Dry grasslands","Permanent crop",0.1617,0.007
"Linum hirsutum","Dry grasslands","Permanent crop",0.1356,0.01
"Linum tenuifolium","Dry grasslands","Permanent crop",0.2145,0.001
"Malus pumila","Dry grasslands","Permanent crop",0.0299,0.903
"Melampyrum arvense","Dry grasslands","Permanent crop",0.3066,0.001
"Melica uniflora","Dry grasslands","Permanent crop",0.0521,0.482
"Melilotus officinalis","Dry grasslands","Permanent crop",0.2186,0.001
"Mercurialis ovata","Dry grasslands","Permanent crop",0.0444,0.484
"Odontites luteus","Dry grasslands","Permanent crop",0.2336,0.001
"Onopordum acanthium","Dry grasslands","Permanent crop",0.0443,0.682
"Ophrys insectifera","Dry grasslands","Permanent crop",0.0519,0.27
"Ophrys sphegodes","Dry grasslands","Permanent crop",0.1038,0.037
"Orchis purpurea","Dry grasslands","Permanent crop",0.0405,0.484
"Orobanche elatior","Dry grasslands","Permanent crop",0.1034,0.035
"Orobanche gracilis","Dry grasslands","Permanent crop",0.0651,0.317
"Orobanche teucrii","Dry grasslands","Permanent crop",0.0382,0.599
"Oxytropis pilosa","Dry grasslands","Permanent crop",0.15,0.012
"Petrorhagia prolifera","Dry grasslands","Permanent crop",0.084,0.126
"Peucedanum alsaticum","Dry grasslands","Permanent crop",0.3176,0.001
"Peucedanum cervaria","Dry grasslands","Permanent crop",0.4113,0.001
"Peucedanum oreoselinum","Dry grasslands","Permanent crop",0.0935,0.18
"Phelipanche purpurea","Dry grasslands","Permanent crop",0.032,0.769
"Phlomis tuberosa","Dry grasslands","Permanent crop",0.0427,0.722
"Phyteuma orbiculare","Dry grasslands","Permanent crop",0.0561,0.242
"Pilosella densiflora","Dry grasslands","Permanent crop",0.0415,0.797
"Pilosella piloselloides","Dry grasslands","Permanent crop",0.0734,0.122
"Pinus nigra","Dry grasslands","Permanent crop",0.0474,0.55
"Polygala major","Dry grasslands","Permanent crop",0.2265,0.001
"Potentilla recta","Dry grasslands","Permanent crop",0.1839,0.001
"Prunus avium","Dry grasslands","Permanent crop",0.069,0.297
"Prunus fruticosa","Dry grasslands","Permanent crop",0.1787,0.001
"Prunus mahaleb","Dry grasslands","Permanent crop",0.1075,0.042
"Prunus spinosa","Dry grasslands","Permanent crop",0.2041,0.002
"Prunus tenella","Dry grasslands","Permanent crop",0.0519,0.257
"Pseudopodospermum hispanicum","Dry grasslands","Permanent crop",0.2041,0.001
"Pulsatilla pratensis","Dry grasslands","Permanent crop",0.1374,0.016
"Pyrus communis","Dry grasslands","Permanent crop",0.1344,0.011
"Quercus dalechampii","Dry grasslands","Permanent crop",0.0624,0.239
"Rapistrum perenne","Dry grasslands","Permanent crop",0.1638,0.001
"Rhamnus cathartica","Dry grasslands","Permanent crop",0.0636,0.413
"Rosa canina","Dry grasslands","Permanent crop",0.1503,0.01
"Rosa rubiginosa aggr.","Dry grasslands","Permanent crop",0.0552,0.367
"Rosa spinosissima","Dry grasslands","Permanent crop",0.2059,0.001
"Salsola kali aggr.","Dry grasslands","Permanent crop",0.0534,0.428
"Salvia verticillata","Dry grasslands","Permanent crop",0.2481,0.001
"Securigera varia","Dry grasslands","Permanent crop",0.2762,0.001
"Seseli libanotis","Dry grasslands","Permanent crop",0.3911,0.001
"Seseli pallasii","Dry grasslands","Permanent crop",0.0704,0.254
"Sideritis montana","Dry grasslands","Permanent crop",0.1019,0.046
"Silene coronaria","Dry grasslands","Permanent crop",0.0519,0.248
"Silene vulgaris","Dry grasslands","Permanent crop",0.198,0.003
