"Habitat","Species","Historical land use","IndVal.g","p.value"
"Dry grasslands","Abies alba","Settlement",0.1319,0.033
"Dry grasslands","Acer campestre","Permanent crop",0.1582,0.051
"Dry grasslands","Acer negundo","Forest",0.068,0.142
"Dry grasslands","Acer platanoides","Settlement",0.1241,0.04
"Dry grasslands","Acer pseudoplatanus","Settlement",0.0942,0.136
"Dry grasslands","Achillea millefolium aggr.","Settlement",0.3997,0.013
"Dry grasslands","Achillea nobilis","Forest",0.1548,0.018
"Dry grasslands","Achillea pannonica","Permanent crop",0.2005,0.631
"Dry grasslands","Achillea setacea","Arable land",0.1723,0.047
"Dry grasslands","Achillea styriaca","Grassland",0.0233,1
"Dry grasslands","Aconitum anthora","Forest",0.1175,0.053
"Dry grasslands","Aconitum lycoctonum","Grassland",0.0233,1
"Dry grasslands","Adonis aestivalis","Grassland",0.0329,0.865
"Dry grasslands","Adonis vernalis","Forest",0.1274,0.542
"Dry grasslands","Aegonychon purpurocaeruleum","Forest",0.1656,0.016
"Dry grasslands","Aegopodium podagraria","Forest",0.0927,0.073
"Dry grasslands","Aesculus hippocastanum","Arable land",0.0317,0.771
"Dry grasslands","Agrimonia eupatoria","Permanent crop",0.3008,0.006
"Dry grasslands","Agropyron cristatum","Permanent crop",0.0343,0.489
"Dry grasslands","Agrostis capillaris","Forest",0.1637,0.234
"Dry grasslands","Agrostis gigantea","Settlement",0.1269,0.042
"Dry grasslands","Agrostis stolonifera","Forest",0.0995,0.136
"Dry grasslands","Agrostis vinealis","Grassland",0.1491,0.454
"Dry grasslands","Ailanthus altissima","Grassland",0.0438,0.574
"Dry grasslands","Aira praecox","Forest",0.0549,0.109
"Dry grasslands","Ajuga chamaepitys","Arable land",0.0731,0.098
"Dry grasslands","Ajuga genevensis","Settlement",0.1461,0.068
"Dry grasslands","Ajuga reptans","Grassland",0.1223,0.138
"Dry grasslands","Alcea biennis","Grassland",0.0329,0.889
"Dry grasslands","Alchemilla glaucescens","Arable land",0.0926,0.118
"Dry grasslands","Alchemilla monticola","Forest",0.0388,0.343
"Dry grasslands","Alchemilla vulgaris aggr.","Arable land",0.0428,0.758
"Dry grasslands","Alchemilla xanthochlora","Grassland",0.0233,1
"Dry grasslands","Alliaria petiolata","Forest",0.1095,0.043
"Dry grasslands","Allium carinatum","Grassland",0.0557,0.509
"Dry grasslands","Allium flavum","Settlement",0.2235,0.151
"Dry grasslands","Allium lusitanicum","Settlement",0.1485,0.461
"Dry grasslands","Allium oleraceum","Forest",0.1305,0.116
"Dry grasslands","Allium rotundum","Grassland",0.0489,0.411
"Dry grasslands","Allium scorodoprasum","Grassland",0.0621,0.747
"Dry grasslands","Allium sphaerocephalon","Arable land",0.1019,0.095
"Dry grasslands","Allium vineale","Arable land",0.0666,0.403
"Dry grasslands","Alnus glutinosa","Arable land",0.0379,0.485
"Dry grasslands","Alopecurus pratensis","Grassland",0.0587,0.806
"Dry grasslands","Alyssum alyssoides","Settlement",0.2352,0.029
"Dry grasslands","Alyssum montanum aggr.","Grassland",0.2592,0.007
"Dry grasslands","Amaranthus hybridus aggr.","Arable land",0.0379,0.467
"Dry grasslands","Amaranthus retroflexus","Arable land",0.0536,0.113
"Dry grasslands","Anacamptis morio","Permanent crop",0.063,0.253
"Dry grasslands","Anacamptis pyramidalis","Grassland",0.0508,0.403
"Dry grasslands","Anagallis arvensis","Forest",0.0436,0.69
"Dry grasslands","Anagallis foemina","Permanent crop",0.041,0.356
"Dry grasslands","Anchusa officinalis","Forest",0.0574,0.166
"Dry grasslands","Androsace elongata","Settlement",0.1413,0.008
"Dry grasslands","Anemone nemorosa","Permanent crop",0.0551,0.151
"Dry grasslands","Anemone ranunculoides","Grassland",0.0403,0.506
"Dry grasslands","Anemone sylvestris","Permanent crop",0.1221,0.166
"Dry grasslands","Angelica sylvestris","Grassland",0.0308,0.813
"Dry grasslands","Anisantha sterilis","Settlement",0.2698,0.001
"Dry grasslands","Anisantha tectorum","Settlement",0.1714,0.034
"Dry grasslands","Antennaria dioica","Grassland",0.0396,0.712
"Dry grasslands","Anthemis arvensis","Arable land",0.0277,1
"Dry grasslands","Anthemis ruthenica","Arable land",0.0636,0.189
"Dry grasslands","Anthericum ramosum","Permanent crop",0.2455,0.139
"Dry grasslands","Anthoxanthum odoratum aggr.","Grassland",0.2017,0.11
"Dry grasslands","Anthriscus cerefolium","Forest",0.0759,0.142
"Dry grasslands","Anthriscus sylvestris","Permanent crop",0.0459,0.633
"Dry grasslands","Anthyllis vulneraria","Permanent crop",0.2441,0.091
"Dry grasslands","Apera interrupta","Grassland",0.0233,1
"Dry grasslands","Apera spica-venti","Arable land",0.0557,0.197
"Dry grasslands","Aquilegia vulgaris","Grassland",0.061,0.296
"Dry grasslands","Arabidopsis arenosa","Settlement",0.1157,0.076
"Dry grasslands","Arabidopsis petraea","Forest",0.1025,0.125
"Dry grasslands","Arabidopsis thaliana","Settlement",0.1603,0.129
"Dry grasslands","Arabis auriculata","Forest",0.1481,0.101
"Dry grasslands","Arabis hirsuta aggr.","Forest",0.1997,0.091
"Dry grasslands","Arenaria grandiflora","Grassland",0.0403,0.432
"Dry grasslands","Arenaria leptoclados","Forest",0.176,0.005
"Dry grasslands","Arenaria serpyllifolia","Settlement",0.4396,0.001
"Dry grasslands","Argentina anserina","Forest",0.0583,0.107
"Dry grasslands","Aristolochia clematitis","Arable land",0.0273,0.982
"Dry grasslands","Armeria maritima","Arable land",0.1514,0.114
"Dry grasslands","Arnica montana","Grassland",0.0605,0.24
"Dry grasslands","Arnoseris minima","Arable land",0.0379,0.477
"Dry grasslands","Arrhenatherum elatius","Permanent crop",0.3217,0.176
"Dry grasslands","Artemisia absinthium","Forest",0.1506,0.047
"Dry grasslands","Artemisia austriaca","Arable land",0.0283,1
"Dry grasslands","Artemisia campestris","Settlement",0.3445,0.003
"Dry grasslands","Artemisia pontica","Permanent crop",0.09,0.103
"Dry grasslands","Artemisia santonicum","Arable land",0.0379,0.481
"Dry grasslands","Artemisia vulgaris","Settlement",0.3234,0.001
"Dry grasslands","Asarum europaeum","Forest",0.0784,0.129
"Dry grasslands","Asclepias syriaca","Forest",0.0431,0.27
"Dry grasslands","Asparagus officinalis","Permanent crop",0.1254,0.159
"Dry grasslands","Asperula cynanchica","Arable land",0.353,0.057
"Dry grasslands","Asperula tinctoria","Permanent crop",0.1374,0.121
"Dry grasslands","Asplenium adiantum-nigrum subsp. serpentini","Grassland",0.0741,0.228
"Dry grasslands","Asplenium ruta-muraria","Settlement",0.2181,0.005
"Dry grasslands","Asplenium septentrionale","Forest",0.1218,0.075
"Dry grasslands","Asplenium trichomanes","Settlement",0.106,0.173
"Dry grasslands","Aster amellus","Permanent crop",0.3719,0.002
"Dry grasslands","Astragalus asper","Permanent crop",0.0698,0.062
"Dry grasslands","Astragalus austriacus","Arable land",0.1702,0.18
"Dry grasslands","Astragalus cicer","Permanent crop",0.2919,0.001
"Dry grasslands","Astragalus danicus","Grassland",0.1337,0.205
"Dry grasslands","Astragalus exscapus","Arable land",0.1212,0.079
"Dry grasslands","Astragalus glycyphyllos","Permanent crop",0.146,0.143
"Dry grasslands","Astragalus onobrychis","Permanent crop",0.21,0.117
"Dry grasslands","Astrantia major","Grassland",0.0607,0.32
"Dry grasslands","Atriplex oblongifolia","Arable land",0.0379,0.484
"Dry grasslands","Atriplex patula","Arable land",0.0324,0.808
"Dry grasslands","Atriplex sagittata","Arable land",0.026,1
"Dry grasslands","Atriplex tatarica","Arable land",0.0478,0.179
"Dry grasslands","Aurinia saxatilis","Settlement",0.2059,0.002
"Dry grasslands","Avenella flexuosa","Forest",0.1128,0.155
"Dry grasslands","Avenula pubescens","Permanent crop",0.2756,0.02
"Dry grasslands","Ballota nigra","Permanent crop",0.0701,0.254
"Dry grasslands","Barbarea vulgaris","Permanent crop",0.0519,0.129
"Dry grasslands","Bassia laniflora","Arable land",0.0365,0.601
"Dry grasslands","Bassia prostrata","Permanent crop",0.0644,0.109
"Dry grasslands","Bellis perennis","Settlement",0.1044,0.119
"Dry grasslands","Berberis vulgaris","Forest",0.0627,0.302
"Dry grasslands","Berteroa incana","Settlement",0.4165,0.001
"Dry grasslands","Betula pendula","Forest",0.0892,0.341
"Dry grasslands","Biscutella laevigata","Forest",0.0758,0.398
"Dry grasslands","Bistorta officinalis","Forest",0.0585,0.3
"Dry grasslands","Bothriochloa ischaemum","Grassland",0.1934,0.372
"Dry grasslands","Botrychium lunaria","Grassland",0.0347,0.906
"Dry grasslands","Botrychium matricariifolium","Arable land",0.0379,0.503
"Dry grasslands","Brachypodium pinnatum","Arable land",0.3445,0.08
"Dry grasslands","Brachypodium rupestre","Arable land",0.0379,0.479
"Dry grasslands","Brachypodium sylvaticum","Permanent crop",0.054,0.487
"Dry grasslands","Briza media","Arable land",0.2677,0.073
"Dry grasslands","Bromopsis erecta","Permanent crop",0.3522,0.008
"Dry grasslands","Bromopsis inermis","Permanent crop",0.253,0.014
"Dry grasslands","Bromopsis pannonica","Forest",0.0431,0.263
"Dry grasslands","Bromopsis ramosa aggr.","Grassland",0.0233,1
"Dry grasslands","Bromus commutatus","Permanent crop",0.072,0.088
"Dry grasslands","Bromus hordeaceus","Grassland",0.0941,0.523
"Dry grasslands","Bromus japonicus","Permanent crop",0.0775,0.492
"Dry grasslands","Bromus racemosus","Grassland",0.0233,1
"Dry grasslands","Bromus squarrosus","Forest",0.1208,0.027
"Dry grasslands","Buglossoides arvensis aggr.","Forest",0.1576,0.022
"Dry grasslands","Bunias orientalis","Arable land",0.0379,0.458
"Dry grasslands","Buphthalmum salicifolium","Permanent crop",0.3028,0.001
"Dry grasslands","Bupleurum affine","Permanent crop",0.0444,0.231
"Dry grasslands","Bupleurum falcatum","Permanent crop",0.367,0.004
"Dry grasslands","Calamagrostis arundinacea","Grassland",0.1124,0.074
"Dry grasslands","Calamagrostis epigejos","Permanent crop",0.2128,0.123
"Dry grasslands","Calamagrostis villosa","Forest",0.0475,0.452
"Dry grasslands","Calluna vulgaris","Forest",0.1038,0.228
"Dry grasslands","Calystegia sepium","Forest",0.0431,0.257
"Dry grasslands","Camelina microcarpa","Settlement",0.3117,0.001
"Dry grasslands","Camelina sativa","Grassland",0.0329,0.863
"Dry grasslands","Campanula bononiensis","Permanent crop",0.1217,0.16
"Dry grasslands","Campanula cervicaria","Settlement",0.1795,0.002
"Dry grasslands","Campanula glomerata","Permanent crop",0.2836,0.017
"Dry grasslands","Campanula patula aggr.","Settlement",0.1511,0.11
"Dry grasslands","Campanula persicifolia","Forest",0.1221,0.435
"Dry grasslands","Campanula rapunculoides","Permanent crop",0.1206,0.241
"Dry grasslands","Campanula rotundifolia","Arable land",0.2736,0.01
"Dry grasslands","Campanula sibirica","Grassland",0.1562,0.219
"Dry grasslands","Campanula trachelium","Permanent crop",0.0476,0.41
"Dry grasslands","Capsella bursa-pastoris","Settlement",0.103,0.158
"Dry grasslands","Cardamine matthioli","Grassland",0.0329,0.765
"Dry grasslands","Cardamine pratensis","Permanent crop",0.0728,0.044
"Dry grasslands","Carduus acanthoides","Arable land",0.1232,0.206
"Dry grasslands","Carduus crispus","Arable land",0.0311,0.969
"Dry grasslands","Carduus defloratus aggr.","Grassland",0.0233,1
"Dry grasslands","Carduus nutans","Forest",0.0875,0.425
"Dry grasslands","Carex acuta","Arable land",0.0352,0.436
"Dry grasslands","Carex acutiformis","Grassland",0.0233,1
"Dry grasslands","Carex alba","Permanent crop",0.0657,0.131
"Dry grasslands","Carex canescens","Grassland",0.0329,0.877
"Dry grasslands","Carex caryophyllea","Forest",0.2311,0.171
"Dry grasslands","Carex digitata","Forest",0.1157,0.06
"Dry grasslands","Carex distans","Arable land",0.0536,0.093
"Dry grasslands","Carex elata","Grassland",0.0233,1
"Dry grasslands","Carex ericetorum","Forest",0.0945,0.103
"Dry grasslands","Carex filiformis","Arable land",0.1369,0.143
"Dry grasslands","Carex flacca","Permanent crop",0.2134,0.039
"Dry grasslands","Carex flava","Permanent crop",0.0519,0.124
"Dry grasslands","Carex fritschii","Forest",0.061,0.071
"Dry grasslands","Carex hirta","Forest",0.1152,0.236
"Dry grasslands","Carex humilis","Grassland",0.2804,0.144
"Dry grasslands","Carex leporina","Forest",0.0662,0.311
"Dry grasslands","Carex liparocarpos","Grassland",0.0874,0.195
"Dry grasslands","Carex michelii","Forest",0.2119,0.046
"Dry grasslands","Carex montana","Grassland",0.1487,0.386
"Dry grasslands","Carex muricata","Forest",0.0778,0.371
"Dry grasslands","Carex nigra","Forest",0.0459,0.515
"Dry grasslands","Carex ornithopoda","Permanent crop",0.1195,0.049
"Dry grasslands","Carex pallescens","Arable land",0.0517,0.561
"Dry grasslands","Carex panicea","Grassland",0.0595,0.44
"Dry grasslands","Carex pilosa","Grassland",0.0233,1
"Dry grasslands","Carex pilulifera","Forest",0.1026,0.09
"Dry grasslands","Carex praecox","Forest",0.1276,0.372
"Dry grasslands","Carex rostrata","Forest",0.0406,0.342
"Dry grasslands","Carex spicata","Arable land",0.0365,0.93
"Dry grasslands","Carex stenophylla","Forest",0.0453,0.821
"Dry grasslands","Carex supina","Grassland",0.1558,0.311
"Dry grasslands","Carex sylvatica","Forest",0.0431,0.274
"Dry grasslands","Carlina acaulis","Arable land",0.3179,0.004
"Dry grasslands","Carlina vulgaris aggr.","Permanent crop",0.2734,0.012
"Dry grasslands","Carpinus betulus","Forest",0.1571,0.06
"Dry grasslands","Carum carvi","Settlement",0.1232,0.019
"Dry grasslands","Castanea sativa","Permanent crop",0.0519,0.121
"Dry grasslands","Caucalis platycarpos","Arable land",0.0499,0.539
"Dry grasslands","Centaurea jacea","Permanent crop",0.2392,0.065
"Dry grasslands","Centaurea oxylepis","Forest",0.0431,0.28
"Dry grasslands","Centaurea phrygia aggr.","Permanent crop",0.0364,0.851
"Dry grasslands","Centaurea scabiosa","Permanent crop",0.4984,0.001
"Dry grasslands","Centaurea stoebe","Grassland",0.2734,0.474
"Dry grasslands","Centaurea thuillieri","Arable land",0.0775,0.304
"Dry grasslands","Centaurium erythraea","Forest",0.0519,0.884
"Dry grasslands","Centaurium pulchellum","Grassland",0.0233,1
"Dry grasslands","Cephalanthera damasonium","Forest",0.0495,0.193
"Dry grasslands","Cerastium arvense","Settlement",0.2172,0.034
"Dry grasslands","Cerastium brachypetalum","Permanent crop",0.0619,0.845
"Dry grasslands","Cerastium fontanum subsp. vulgare","Settlement",0.2724,0.002
"Dry grasslands","Cerastium glomeratum","Arable land",0.0343,0.656
"Dry grasslands","Cerastium pumilum","Settlement",0.2159,0.06
"Dry grasslands","Cerastium semidecandrum","Forest",0.1794,0.043
"Dry grasslands","Cerastium tomentosum","Arable land",0.0379,0.472
"Dry grasslands","Cerinthe minor","Arable land",0.072,0.346
"Dry grasslands","Chaerophyllum aromaticum","Permanent crop",0.0245,0.923
"Dry grasslands","Chaerophyllum bulbosum","Grassland",0.0233,1
"Dry grasslands","Chaerophyllum hirsutum","Grassland",0.0233,1
"Dry grasslands","Chelidonium majus","Settlement",0.1974,0.002
"Dry grasslands","Chenopodium album aggr.","Arable land",0.0747,0.514
"Dry grasslands","Chenopodium opulifolium","Arable land",0.0379,0.463
"Dry grasslands","Chondrilla juncea","Grassland",0.1042,0.426
"Dry grasslands","Chrysopogon gryllus","Forest",0.1367,0.031
"Dry grasslands","Cichorium intybus","Permanent crop",0.0713,0.343
"Dry grasslands","Cirsium acaulon","Arable land",0.0304,0.936
"Dry grasslands","Cirsium arvense","Grassland",0.0839,0.744
"Dry grasslands","Cirsium canum","Grassland",0.0442,0.739
"Dry grasslands","Cirsium palustre","Grassland",0.0329,0.721
"Dry grasslands","Cirsium pannonicum","Permanent crop",0.1687,0.157
"Dry grasslands","Cirsium rivulare","Arable land",0.0291,0.975
"Dry grasslands","Cirsium vulgare","Arable land",0.101,0.105
"Dry grasslands","Cleistogenes serotina","Grassland",0.0504,0.425
"Dry grasslands","Clematis integrifolia","Arable land",0.0379,0.444
"Dry grasslands","Clematis recta","Grassland",0.0831,0.497
"Dry grasslands","Clematis vitalba","Permanent crop",0.2111,0.009
"Dry grasslands","Clinopodium acinos","Grassland",0.214,0.297
"Dry grasslands","Clinopodium vulgare","Forest",0.1913,0.033
"Dry grasslands","Colchicum autumnale","Grassland",0.1543,0.184
"Dry grasslands","Colutea arborescens","Permanent crop",0.0519,0.114
"Dry grasslands","Consolida regalis","Forest",0.1161,0.047
"Dry grasslands","Convallaria majalis","Forest",0.0709,0.276
"Dry grasslands","Convolvulus arvensis","Settlement",0.2524,0.007
"Dry grasslands","Cornus mas","Forest",0.1176,0.056
"Dry grasslands","Cornus sanguinea","Permanent crop",0.2839,0.001
"Dry grasslands","Coronilla coronata","Permanent crop",0.0734,0.047
"Dry grasslands","Corydalis cava","Forest",0.0431,0.254
"Dry grasslands","Corylus avellana","Settlement",0.1717,0.01
"Dry grasslands","Corynephorus canescens","Forest",0.1237,0.245
"Dry grasslands","Cota austriaca","Grassland",0.0329,0.804
"Dry grasslands","Cota tinctoria","Forest",0.1794,0.006
"Dry grasslands","Cotinus coggygria","Settlement",0.1414,0.011
"Dry grasslands","Cotoneaster integerrimus","Forest",0.1208,0.029
"Dry grasslands","Cotoneaster tomentosus","Permanent crop",0.0496,0.231
"Dry grasslands","Crambe tataria","Arable land",0.1455,0.074
"Dry grasslands","Crataegus laevigata","Forest",0.2262,0.002
"Dry grasslands","Crataegus macrocarpa","Forest",0.0862,0.058
"Dry grasslands","Crataegus monogyna","Permanent crop",0.2652,0.018
"Dry grasslands","Crataegus rhipidophylla","Arable land",0.0379,0.45
"Dry grasslands","Crepis biennis","Permanent crop",0.1608,0.011
"Dry grasslands","Crepis capillaris","Forest",0.0721,0.051
"Dry grasslands","Crepis foetida aggr.","Arable land",0.0417,0.457
"Dry grasslands","Crepis mollis","Grassland",0.0465,0.293
"Dry grasslands","Crepis pannonica","Arable land",0.0462,0.32
"Dry grasslands","Crepis praemorsa aggr.","Grassland",0.1,0.467
"Dry grasslands","Crepis setosa","Arable land",0.0379,0.484
"Dry grasslands","Crepis tectorum","Arable land",0.0364,0.592
"Dry grasslands","Cruciata glabra","Grassland",0.196,0.02
"Dry grasslands","Cruciata laevipes","Permanent crop",0.0884,0.2
"Dry grasslands","Cruciata pedemontana","Forest",0.1259,0.049
"Dry grasslands","Cuscuta approximata","Grassland",0.0233,1
"Dry grasslands","Cuscuta epithymum","Permanent crop",0.1723,0.039
"Dry grasslands","Cyanus mollis","Permanent crop",0.0519,0.119
"Dry grasslands","Cyanus montanus","Grassland",0.0233,1
"Dry grasslands","Cyanus segetum","Arable land",0.0279,0.926
"Dry grasslands","Cyanus triumfettii aggr.","Forest",0.1436,0.089
"Dry grasslands","Cymbalaria muralis","Settlement",0.1414,0.016
"Dry grasslands","Cynodon dactylon","Grassland",0.1186,0.14
"Dry grasslands","Cynoglossum officinale","Forest",0.0377,0.892
"Dry grasslands","Cynosurus cristatus","Grassland",0.0537,0.676
"Dry grasslands","Cypripedium calceolus","Permanent crop",0.0478,0.169
"Dry grasslands","Cystopteris fragilis","Settlement",0.1407,0.006
"Dry grasslands","Cytisus albus","Arable land",0.0659,0.204
"Dry grasslands","Cytisus austriacus","Arable land",0.166,0.072
"Dry grasslands","Cytisus hirsutus","Permanent crop",0.1514,0.082
"Dry grasslands","Cytisus procumbens","Arable land",0.1413,0.182
"Dry grasslands","Cytisus ratisbonensis","Arable land",0.2025,0.103
"Dry grasslands","Cytisus scoparius","Forest",0.0501,0.524
"Dry grasslands","Dactylis glomerata","Permanent crop",0.3976,0.002
"Dry grasslands","Dactylorhiza incarnata","Forest",0.0431,0.291
"Dry grasslands","Dactylorhiza majalis","Arable land",0.0301,0.973
"Dry grasslands","Dactylorhiza sambucina","Forest",0.0431,0.27
"Dry grasslands","Dactylorhiza viridis","Arable land",0.0379,0.478
"Dry grasslands","Danthonia alpina","Grassland",0.0525,0.36
"Dry grasslands","Danthonia decumbens","Grassland",0.0834,0.645
"Dry grasslands","Daphne cneorum","Grassland",0.0416,0.652
"Dry grasslands","Datura stramonium","Arable land",0.0379,0.476
"Dry grasslands","Daucus carota","Arable land",0.2016,0.075
"Dry grasslands","Deschampsia cespitosa aggr.","Forest",0.0994,0.117
"Dry grasslands","Descurainia sophia","Settlement",0.1799,0.005
"Dry grasslands","Dianthus armeria","Grassland",0.0329,0.858
"Dry grasslands","Dianthus carthusianorum","Permanent crop",0.1429,0.814
"Dry grasslands","Dianthus carthusianorum aggr.","Settlement",0.2526,0.976
"Dry grasslands","Dianthus collinus","Permanent crop",0.0734,0.041
"Dry grasslands","Dianthus deltoides","Settlement",0.1167,0.15
"Dry grasslands","Dianthus serotinus","Forest",0.0472,0.682
"Dry grasslands","Dianthus superbus","Arable land",0.0344,0.587
"Dry grasslands","Dichoropetalum carvifolia","Permanent crop",0.0519,0.127
"Dry grasslands","Dictamnus albus","Permanent crop",0.1649,0.062
"Dry grasslands","Digitalis grandiflora","Forest",0.154,0.014
"Dry grasslands","Digitaria ischaemum","Grassland",0.0616,0.404
"Dry grasslands","Digitaria sanguinalis","Forest",0.0515,0.332
"Dry grasslands","Diplotaxis muralis","Grassland",0.0327,0.835
"Dry grasslands","Diplotaxis tenuifolia","Grassland",0.0678,0.391
"Dry grasslands","Dipsacus fullonum","Arable land",0.0866,0.144
"Dry grasslands","Dorycnium pentaphyllum","Permanent crop",0.3444,0.017
"Dry grasslands","Draba aizoides aggr.","Grassland",0.057,0.248
"Dry grasslands","Draba nemorosa","Grassland",0.0325,0.782
"Dry grasslands","Draba verna aggr.","Arable land",0.1585,0.431
"Dry grasslands","Drabella muralis","Permanent crop",0.1558,0.009
"Dry grasslands","Drymocallis rupestris","Settlement",0.1414,0.014
"Dry grasslands","Dryopteris filix-mas","Forest",0.0747,0.064
"Dry grasslands","Echinochloa crus-galli","Settlement",0.1373,0.013
"Dry grasslands","Echinops ritro","Grassland",0.0329,0.778
"Dry grasslands","Echinops sphaerocephalus","Forest",0.0498,0.573
"Dry grasslands","Echium vulgare","Settlement",0.3144,0.01
"Dry grasslands","Eleocharis uniglumis","Forest",0.0409,0.315
"Dry grasslands","Elymus caninus","Arable land",0.0379,0.468
"Dry grasslands","Elytrigia intermedia","Settlement",0.2533,0.111
"Dry grasslands","Elytrigia repens aggr.","Arable land",0.1848,0.126
"Dry grasslands","Epilobium angustifolium","Forest",0.0317,0.827
"Dry grasslands","Epilobium ciliatum","Grassland",0.0233,1
"Dry grasslands","Epilobium dodonaei","Grassland",0.0233,1
"Dry grasslands","Epilobium tetragonum","Arable land",0.0309,0.97
"Dry grasslands","Epipactis atrorubens","Arable land",0.0736,0.132
"Dry grasslands","Epipactis helleborine","Arable land",0.0492,0.195
"Dry grasslands","Epipactis palustris","Permanent crop",0.0519,0.132
"Dry grasslands","Equisetum arvense","Arable land",0.0693,0.564
"Dry grasslands","Equisetum fluviatile","Grassland",0.0233,1
"Dry grasslands","Equisetum ramosissimum","Arable land",0.039,0.507
"Dry grasslands","Equisetum variegatum","Forest",0.1141,0.039
"Dry grasslands","Erigeron acris","Arable land",0.1279,0.121
"Dry grasslands","Erigeron annuus","Settlement",0.1113,0.1
"Dry grasslands","Erigeron canadensis","Arable land",0.1024,0.373
"Dry grasslands","Eriophorum angustifolium","Grassland",0.0329,0.771
"Dry grasslands","Erodium cicutarium","Settlement",0.1249,0.126
"Dry grasslands","Eryngium campestre","Permanent crop",0.3032,0.199
"Dry grasslands","Erysimum cheiranthoides","Forest",0.0288,0.887
"Dry grasslands","Erysimum diffusum","Forest",0.1066,0.999
"Dry grasslands","Erysimum marschallianum","Permanent crop",0.0584,0.522
"Dry grasslands","Erysimum odoratum","Forest",0.1491,0.077
"Dry grasslands","Erysimum repandum","Arable land",0.0563,0.267
"Dry grasslands","Erysimum sylvestre","Permanent crop",0.0519,0.125
"Dry grasslands","Euonymus europaeus","Forest",0.0644,0.824
"Dry grasslands","Euonymus verrucosus","Forest",0.0931,0.085
"Dry grasslands","Eupatorium cannabinum","Permanent crop",0.0281,1
"Dry grasslands","Euphorbia amygdaloides","Grassland",0.0329,0.87
"Dry grasslands","Euphorbia angulata","Grassland",0.0233,1
"Dry grasslands","Euphorbia cyparissias","Forest",0.3836,0.047
"Dry grasslands","Euphorbia dulcis","Permanent crop",0.0352,0.742
"Dry grasslands","Euphorbia epithymoides","Forest",0.2297,0.003
"Dry grasslands","Euphorbia esula","Permanent crop",0.2218,0.07
"Dry grasslands","Euphorbia exigua","Grassland",0.0329,0.711
"Dry grasslands","Euphorbia helioscopia","Arable land",0.0379,0.484
"Dry grasslands","Euphorbia illirica","Forest",0.0312,0.812
"Dry grasslands","Euphorbia salicifolia","Permanent crop",0.0705,0.071
"Dry grasslands","Euphorbia seguieriana","Grassland",0.1971,0.024
"Dry grasslands","Euphorbia stricta","Permanent crop",0.0734,0.031
"Dry grasslands","Euphorbia verrucosa","Grassland",0.0661,0.285
"Dry grasslands","Euphrasia pectinata","Arable land",0.1028,0.076
"Dry grasslands","Euphrasia rostkoviana","Arable land",0.1034,0.106
"Dry grasslands","Euphrasia stricta","Grassland",0.1312,0.147
"Dry grasslands","Fagus sylvatica","Forest",0.0552,0.169
"Dry grasslands","Falcaria vulgaris","Permanent crop",0.2551,0.033
"Dry grasslands","Fallopia convolvulus","Forest",0.1314,0.071
"Dry grasslands","Fallopia dumetorum","Forest",0.0357,0.604
"Dry grasslands","Festuca filiformis","Arable land",0.0809,0.262
"Dry grasslands","Festuca heterophylla","Grassland",0.0361,0.697
"Dry grasslands","Festuca ovina","Settlement",0.2422,0.04
"Dry grasslands","Festuca pallens","Settlement",0.3042,0.011
"Dry grasslands","Festuca psammophila","Forest",0.0835,0.41
"Dry grasslands","Festuca rubra aggr.","Settlement",0.1829,0.146
"Dry grasslands","Festuca stricta subsp. stricta","Forest",0.0862,0.058
"Dry grasslands","Festuca stricta subsp. sulcata","Permanent crop",0.3763,0.125
"Dry grasslands","Festuca stricta subsp. trachyphylla","Arable land",0.1003,0.11
"Dry grasslands","Festuca vaginata","Grassland",0.05,0.399
"Dry grasslands","Festuca valesiaca aggr.","Grassland",0.2937,0.116
"Dry grasslands","Ficaria calthifolia","Grassland",0.0233,1
"Dry grasslands","Ficaria verna","Settlement",0.1393,0.002
"Dry grasslands","Filago arvensis","Forest",0.0638,0.293
"Dry grasslands","Filago germanica","Grassland",0.0563,0.365
"Dry grasslands","Filago minima","Forest",0.1075,0.153
"Dry grasslands","Filipendula ulmaria","Grassland",0.0233,1
"Dry grasslands","Filipendula vulgaris","Grassland",0.2666,0.035
"Dry grasslands","Fourraea alpina","Forest",0.0747,0.044
"Dry grasslands","Fragaria moschata","Forest",0.2637,0.002
"Dry grasslands","Fragaria vesca","Settlement",0.2454,0.007
"Dry grasslands","Fragaria viridis","Arable land",0.25,0.265
"Dry grasslands","Frangula alnus","Forest",0.0464,0.428
"Dry grasslands","Fraxinus excelsior","Forest",0.0975,0.589
"Dry grasslands","Fumana procumbens","Grassland",0.1187,0.137
"Dry grasslands","Fumaria officinalis","Grassland",0.0233,1
"Dry grasslands","Fumaria schleicheri","Forest",0.0365,0.453
"Dry grasslands","Fumaria vaillantii","Forest",0.0534,0.165
"Dry grasslands","Gagea bohemica","Forest",0.1234,0.094
"Dry grasslands","Gagea minima","Grassland",0.057,0.25
"Dry grasslands","Gagea pratensis","Grassland",0.0233,1
"Dry grasslands","Gagea pusilla","Grassland",0.0403,0.506
"Dry grasslands","Gagea villosa","Forest",0.0431,0.279
"Dry grasslands","Galatella linosyris","Permanent crop",0.3725,0.002
"Dry grasslands","Galega officinalis","Grassland",0.0233,1
"Dry grasslands","Galeopsis angustifolia","Forest",0.0746,0.244
"Dry grasslands","Galeopsis ladanum","Forest",0.0595,0.1
